support,itemsets
1.0,frozenset({'CES1_upregulated'})
0.95,frozenset({'APLNR_upregulated'})
0.95,frozenset({'ALDOC_upregulated'})
0.9,frozenset({'CES1P1_upregulated'})
0.9,frozenset({'CCDC162P_upregulated'})
0.75,frozenset({'DEFB132_upregulated'})
0.7,frozenset({'B4GALT6_upregulated'})
0.65,frozenset({'ALAS2_upregulated'})
0.95,"frozenset({'CES1_upregulated', 'APLNR_upregulated'})"
0.95,"frozenset({'ALDOC_upregulated', 'CES1_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'CES1_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated'})"
0.9,"frozenset({'CES1P1_upregulated', 'CES1_upregulated'})"
0.85,"frozenset({'CES1P1_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated'})"
0.85,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated'})"
0.85,"frozenset({'CES1P1_upregulated', 'CES1_upregulated', 'APLNR_upregulated'})"
0.85,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'CCDC162P_upregulated'})"
0.9,"frozenset({'CES1_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'CES1P1_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'CES1P1_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'CES1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'ALDOC_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.8,"frozenset({'CES1P1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.85,"frozenset({'ALDOC_upregulated', 'CES1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.8,"frozenset({'CES1P1_upregulated', 'CES1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.8,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.8,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.75,"frozenset({'DEFB132_upregulated', 'CES1_upregulated'})"
0.7,"frozenset({'DEFB132_upregulated', 'CCDC162P_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated'})"
0.7,"frozenset({'DEFB132_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'CES1P1_upregulated', 'DEFB132_upregulated'})"
0.7,"frozenset({'DEFB132_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'CCDC162P_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'CES1_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.7,"frozenset({'DEFB132_upregulated', 'CES1_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'DEFB132_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'CES1_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'DEFB132_upregulated', 'CES1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'DEFB132_upregulated', 'ALDOC_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated'})"
0.65,"frozenset({'CES1P1_upregulated', 'DEFB132_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'CES1_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated'})"
0.6,"frozenset({'CES1P1_upregulated', 'DEFB132_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'CES1_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'CES1_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'CES1P1_upregulated', 'DEFB132_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'CES1_upregulated', 'CES1P1_upregulated', 'DEFB132_upregulated', 'APLNR_upregulated'})"
0.65,"frozenset({'DEFB132_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
