support,itemsets
1.0,frozenset({'CES1_upregulated'})
0.95,frozenset({'ALDOC_upregulated'})
0.95,frozenset({'APLNR_upregulated'})
0.9,frozenset({'CES1P1_upregulated'})
0.9,frozenset({'CCDC162P_upregulated'})
0.95,"frozenset({'CES1_upregulated', 'ALDOC_upregulated'})"
0.95,"frozenset({'CES1_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'ALDOC_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'CES1_upregulated', 'ALDOC_upregulated', 'APLNR_upregulated'})"
0.9,"frozenset({'CES1P1_upregulated', 'ALDOC_upregulated'})"
0.9,"frozenset({'CES1P1_upregulated', 'CES1_upregulated'})"
0.9,"frozenset({'CES1P1_upregulated', 'CES1_upregulated', 'ALDOC_upregulated'})"
0.9,"frozenset({'CCDC162P_upregulated', 'ALDOC_upregulated'})"
0.9,"frozenset({'CES1_upregulated', 'CCDC162P_upregulated'})"
0.9,"frozenset({'CES1_upregulated', 'CCDC162P_upregulated', 'ALDOC_upregulated'})"
